,Unnamed: 0,song,artist,year
0,0,Another Day In Paradise,Phil Collins,1990
1,1,Rhythm Nation,Janet Jackson,1990
2,2,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),1990
3,3,Pump Up The Jam,Technotronic Featuring Felly,1990
4,4,With Every Beat Of My Heart,Taylor Dayne,1990
5,5,How Am I Supposed To Live Without You,Michael Bolton,1990
6,6,This One's For The Children,New Kids On The Block,1990
7,7,Just Like Jesse James,Cher,1990
8,8,We Didn't Start The Fire,Billy Joel,1990
9,9,Everything,Jody Watley,1990
10,10,Back To Life,Soul II Soul,1990
11,11,Swing The Mood,Jive Bunny & The Mastermixers,1990
12,12,Just Between You And Me,Lou Gramm,1990
13,13,Free Fallin',Tom Petty,1990
14,14,Love Song,Tesla,1990
15,15,Downtown Train,Rod Stewart,1990
16,16,When The Night Comes,Joe Cocker,1990
17,17,Two To Make It Right,Seduction,1990
18,18,Living In Sin,Bon Jovi,1990
19,19,Oh Father,Madonna,1990
20,20,Blame It On The Rain,Milli Vanilli,1990
21,21,I Remember You,Skid Row,1990
22,22,Rock And A Hard Place,The Rolling Stones,1990
23,23,Janie's Got A Gun,Aerosmith,1990
24,24,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,1990
25,25,Tender Lover,Babyface,1990
26,26,Peace In Our Time,Eddie Money,1990
27,27,Love Shack,The B-52s,1990
28,28,What Kind Of Man Would I Be?,Chicago,1990
29,29,Don't Close Your Eyes,KIX,1990
30,30,Tell Me Why,Expose,1990
31,31,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1990
32,32,(It's Just) The Way That You Love Me,Paula Abdul,1990
33,33,Was It Nothing At All,Michael Damian,1990
34,34,Principal's Office,Young M.C.,1990
35,35,Bust A Move,Young M.C.,1990
36,36,Kickstart My Heart,Motley Crue,1990
37,37,When I See You Smile,Bad English,1990
38,38,Steamy Windows,Tina Turner,1990
39,39,Dangerous,Roxette,1990
40,40,I Want You,Shana,1990
41,41,Don't Make Me Over,Sybil,1990
42,42,Nothin' To Hide,Poco,1990
43,43,Here We Are,Gloria Estefan,1990
44,44,We Can't Go Wrong,The Cover Girls,1990
45,45,Fool For Your Loving,Whitesnake,1990
46,46,The Last Worthless Evening,Don Henley,1990
47,47,No More Lies,Michel'le,1990
48,48,Angelia,Richard Marx,1990
49,49,Me So Horny,The 2 Live Crew,1990
50,50,All Or Nothing,Milli Vanilli,1990
51,51,If You Leave Me Now,Jaya,1990
52,52,Price Of Love,Bad English,1990
53,53,Woman In Chains,Tears For Fears,1990
54,54,Leave A Light On,Belinda Carlisle,1990
55,55,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),1990
56,56,Poison,Alice Cooper,1990
57,57,Wait For You,Bonham,1990
58,58,Electric Boogie,Marcia Griffiths,1990
59,59,I Live By The Groove,Paul Carrack,1990
60,60,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,1990
61,61,I Will Survive,SaFire,1990
62,62,The Arms Of Orion,Prince With Sheena Easton,1990
63,63,Don't Take It Personal,Jermaine Jackson,1990
64,64,Don't Shut Me Out,Kevin Paige,1990
65,65,The Angel Song,Great White,1990
66,66,Personal Jesus,Depeche Mode,1990
67,67,Over And Over,Pajama Party,1990
68,68,Here And Now,Luther Vandross,1990
69,69,Roam,The B-52s,1990
70,70,Going Home,Kenny G,1990
71,71,Pretending,Eric Clapton,1990
72,72,Heart,Neneh Cherry,1990
73,73,Never 2 Much Of U,Dino,1990
74,74,Listen To Your Heart,Roxette,1990
75,75,Serious Kinda Girl,Christopher Max,1990
76,76,A Girl Like You,The Smithereens,1990
77,77,Didn't I (Blow Your Mind),New Kids On The Block,1990
78,78,Rock Wit'cha,Bobby Brown,1990
79,79,Get On Your Feet,Gloria Estefan,1990
80,80,Sometimes She Cries,Warrant,1990
81,81,Lullaby,The Cure,1990
82,82,Hide Your Heart,KISS,1990
83,83,Too Hot,Loverboy,1990
84,84,No Myth,Michael Penn,1990
85,85,Black Velvet,Alannah Myles,1990
86,86,Gimme Your Good Lovin',Diving For Pearls,1990
87,87,French Kiss,Lil Louis,1990
88,88,Right And Hype,Abstrac',1990
89,89,I Don't Know,Michael Morales,1990
90,90,Girl I Am Searching For You,Stevie B,1990
91,91,Miss You Much,Janet Jackson,1990
92,92,I Didn't Mean To Stay All Night,Starship,1990
93,93,Foolish Heart,Sharon Bryant,1990
94,94,Talk To Myself,Christopher Williams,1990
95,95,Heat Of The Moment,After 7,1990
96,96,Cover Girl,New Kids On The Block,1990
97,97,500 Miles,Hooters,1990
98,98,Back To The Bullet,Saraya,1990
99,99,Owwww!,Chunky A,1990
100,100,How Am I Supposed To Live Without You,Michael Bolton,1990
101,101,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1990
102,102,Downtown Train,Rod Stewart,1990
103,103,Two To Make It Right,Seduction,1990
104,104,Janie's Got A Gun,Aerosmith,1990
105,105,I Remember You,Skid Row,1990
106,106,Free Fallin',Tom Petty,1990
107,107,Pump Up The Jam,Technotronic Featuring Felly,1990
108,108,Just Between You And Me,Lou Gramm,1990
109,109,Everything,Jody Watley,1990
110,110,What Kind Of Man Would I Be?,Chicago,1990
111,111,Peace In Our Time,Eddie Money,1990
112,112,Dangerous,Roxette,1990
113,113,Tender Lover,Babyface,1990
114,114,Tell Me Why,Expose,1990
115,115,All Or Nothing,Milli Vanilli,1990
116,116,Escapade,Janet Jackson,1990
117,117,We Can't Go Wrong,The Cover Girls,1990
118,118,Here We Are,Gloria Estefan,1990
119,119,Love Song,Tesla,1990
120,120,Another Day In Paradise,Phil Collins,1990
121,121,Price Of Love,Bad English,1990
122,122,Roam,The B-52s,1990
123,123,Was It Nothing At All,Michael Damian,1990
124,124,When The Night Comes,Joe Cocker,1990
125,125,No More Lies,Michel'le,1990
126,126,Kickstart My Heart,Motley Crue,1990
127,127,I Go To Extremes,Billy Joel,1990
128,128,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,1990
129,129,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,1990
130,130,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),1990
131,131,Too Late To Say Goodbye,Richard Marx,1990
132,132,Rhythm Nation,Janet Jackson,1990
133,133,Back To Life,Soul II Soul,1990
134,134,Sometimes She Cries,Warrant,1990
135,135,Woman In Chains,Tears For Fears,1990
136,136,Swing The Mood,Jive Bunny & The Mastermixers,1990
137,137,No Myth,Michael Penn,1990
138,138,Black Velvet,Alannah Myles,1990
139,139,Love Will Lead You Back,Taylor Dayne,1990
140,140,Just A Friend,Biz Markie,1990
141,141,Here And Now,Luther Vandross,1990
142,142,With Every Beat Of My Heart,Taylor Dayne,1990
143,143,If You Leave Me Now,Jaya,1990
144,144,Sacrifice,Elton John,1990
145,145,Personal Jesus,Depeche Mode,1990
146,146,Just Like Jesse James,Cher,1990
147,147,The Deeper The Love,Whitesnake,1990
148,148,Principal's Office,Young M.C.,1990
149,149,We Didn't Start The Fire,Billy Joel,1990
150,150,Blame It On The Rain,Milli Vanilli,1990
151,151,Bust A Move,Young M.C.,1990
152,152,I Want You,Shana,1990
153,153,Anything I Want,Kevin Paige,1990
154,154,A Girl Like You,The Smithereens,1990
155,155,Keep It Together,Madonna,1990
156,156,Electric Boogie,Marcia Griffiths,1990
157,157,This One's For The Children,New Kids On The Block,1990
158,158,Summer Rain,Belinda Carlisle,1990
159,159,Love Shack,The B-52s,1990
160,160,I Will Survive,SaFire,1990
161,161,Get Up! (Before The Night Is Over),Technotronic,1990
162,162,Me So Horny,The 2 Live Crew,1990
163,163,House Of Fire,Alice Cooper,1990
164,164,Going Home,Kenny G,1990
165,165,Dirty Deeds,Joan Jett,1990
166,166,"Whole Wide World (From ""True Love"")",A'me Lorain,1990
167,167,Nothin' To Hide,Poco,1990
168,168,Love Me For Life,Stevie B,1990
169,169,Never 2 Much Of U,Dino,1990
170,170,I Wish It Would Rain Down,Phil Collins,1990
171,171,Forever,KISS,1990
172,172,Real Love,Skyy,1990
173,173,All Nite,Entouch Featuring Keith Sweat,1990
174,174,Don't Make Me Over,Sybil,1990
175,175,Wait For You,Bonham,1990
176,176,Don't Close Your Eyes,KIX,1990
177,177,All Around The World,Lisa Stansfield,1990
178,178,When I See You Smile,Bad English,1990
179,179,Over And Over,Pajama Party,1990
180,180,Walk On By,Sybil,1990
181,181,Living In Sin,Bon Jovi,1990
182,182,Don't Take It Personal,Jermaine Jackson,1990
183,183,The Angel Song,Great White,1990
184,184,If U Were Mine,The U-Krew,1990
185,185,Fly High Michelle,Enuff Z'Nuff,1990
186,186,"Timeless Love (From ""Shocker"")",Saraya,1990
187,187,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),1990
188,188,Let Love Rule,Lenny Kravitz,1990
189,189,There's A Party Going On,Yvonne,1990
190,190,That's What I Like,Jive Bunny & The Mastermixers,1990
191,191,(It's Just) The Way That You Love Me,Paula Abdul,1990
192,192,1-2-3,The Chimes,1990
193,193,You're The Only Woman,The Brat Pack,1990
194,194,The Last Worthless Evening,Don Henley,1990
195,195,Figure Of Eight,Paul McCartney,1990
196,196,Steamy Windows,Tina Turner,1990
197,197,Fool For Your Loving,Whitesnake,1990
198,198,Rock And A Hard Place,The Rolling Stones,1990
199,199,Oh Father,Madonna,1990
200,200,Escapade,Janet Jackson,1990
201,201,Dangerous,Roxette,1990
202,202,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1990
203,203,Roam,The B-52s,1990
204,204,All Or Nothing,Milli Vanilli,1990
205,205,Here We Are,Gloria Estefan,1990
206,206,Price Of Love,Bad English,1990
207,207,We Can't Go Wrong,The Cover Girls,1990
208,208,Black Velvet,Alannah Myles,1990
209,209,No More Lies,Michel'le,1990
210,210,I Go To Extremes,Billy Joel,1990
211,211,Too Late To Say Goodbye,Richard Marx,1990
212,212,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,1990
213,213,Just A Friend,Biz Markie,1990
214,214,Love Will Lead You Back,Taylor Dayne,1990
215,215,Two To Make It Right,Seduction,1990
216,216,What Kind Of Man Would I Be?,Chicago,1990
217,217,No Myth,Michael Penn,1990
218,218,I Wish It Would Rain Down,Phil Collins,1990
219,219,Sometimes She Cries,Warrant,1990
220,220,Get Up! (Before The Night Is Over),Technotronic,1990
221,221,Sacrifice,Elton John,1990
222,222,Keep It Together,Madonna,1990
223,223,Here And Now,Luther Vandross,1990
224,224,All Around The World,Lisa Stansfield,1990
225,225,Janie's Got A Gun,Aerosmith,1990
226,226,I'll Be Your Everything,Tommy Page,1990
227,227,Personal Jesus,Depeche Mode,1990
228,228,All My Life,Linda Ronstadt (Featuring Aaron Neville),1990
229,229,Summer Rain,Belinda Carlisle,1990
230,230,The Deeper The Love,Whitesnake,1990
231,231,Forever,KISS,1990
232,232,Downtown Train,Rod Stewart,1990
233,233,Anything I Want,Kevin Paige,1990
234,234,How Am I Supposed To Live Without You,Michael Bolton,1990
235,235,"Whole Wide World (From ""True Love"")",A'me Lorain,1990
236,236,Don't Wanna Fall In Love,Jane Child,1990
237,237,Tell Me Why,Expose,1990
238,238,Dirty Deeds,Joan Jett,1990
239,239,I Remember You,Skid Row,1990
240,240,A Girl Like You,The Smithereens,1990
241,241,Pump Up The Jam,Technotronic Featuring Felly,1990
242,242,Love Me For Life,Stevie B,1990
243,243,Love Song,Tesla,1990
244,244,If You Leave Me Now,Jaya,1990
245,245,I Wanna Be Rich,Calloway,1990
246,246,Real Love,Skyy,1990
247,247,You're The Only Woman,The Brat Pack,1990
248,248,Without You,Motley Crue,1990
249,249,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),1990
250,250,Back To Life,Soul II Soul,1990
251,251,Everything,Jody Watley,1990
252,252,Almost Hear You Sigh,The Rolling Stones,1990
253,253,Heart Of Stone,Cher,1990
254,254,Free Fallin',Tom Petty,1990
255,255,If U Were Mine,The U-Krew,1990
256,256,The Heart Of The Matter,Don Henley,1990
257,257,Was It Nothing At All,Michael Damian,1990
258,258,True Blue Love,Lou Gramm,1990
259,259,Heartbeat,Seduction,1990
260,260,Blue Sky Mine,Midnight Oil,1990
261,261,Fly High Michelle,Enuff Z'Nuff,1990
262,262,Bust A Move,Young M.C.,1990
263,263,Just Between You And Me,Lou Gramm,1990
264,264,Peace In Our Time,Eddie Money,1990
265,265,House Of Fire,Alice Cooper,1990
266,266,Sending All My Love,Linear,1990
267,267,How Can We Be Lovers,Michael Bolton,1990
268,268,Me So Horny,The 2 Live Crew,1990
269,269,Got To Get,Leila K With Rob 'N' Raz,1990
270,270,Lambada,Kaoma,1990
