,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
0,No Role Modelz,J. Cole,conscious hip hop,2014,2017‑12‑05,100,52,70,-8,6,46,293,30,33,82
1,Congratulations,Post Malone,dfw rap,2016,2017‑12‑05,123,80,63,-4,25,49,220,22,4,84
2,iSpy (feat. Lil Yachty),KYLE,pop rap,2016,2017‑12‑05,75,65,75,-7,23,67,253,38,29,77
3,That's What I Like,Bruno Mars,pop,2016,2017‑12‑05,134,56,85,-5,9,86,207,1,4,83
4,goosebumps,Travis Scott,rap,2016,2017‑12‑05,130,73,84,-3,15,43,244,8,5,87
5,Redbone,Childish Gambino,atl hip hop,2016,2017‑12‑05,160,35,74,-11,10,57,327,17,12,82
6,Starboy,The Weeknd,canadian contemporary r&b,2016,2017‑12‑05,186,59,68,-7,14,49,230,14,28,85
7,Say You Won't Let Go,James Arthur,pop,2016,2017‑12‑05,85,56,36,-7,9,49,211,70,6,85
8,Closer,The Chainsmokers,electropop,2016,2017‑12‑05,95,52,75,-6,11,66,245,41,3,86
9,Swang,Rae Sremmurd,hip hop,2016,2017‑12‑05,140,31,68,-9,10,17,208,20,6,75
10,I Feel It Coming,The Weeknd,canadian contemporary r&b,2016,2017‑12‑05,93,82,77,-6,7,59,269,43,12,71
11,Broccoli,DRAM,pop rap,2016,2017‑12‑05,146,53,89,-7,6,71,225,24,13,65
12,X (feat. Future),21 Savage,atl hip hop,2016,2017‑12‑05,149,41,84,-10,10,11,259,37,40,75
13,Black Beatles,Rae Sremmurd,hip hop,2016,2017‑12‑05,146,63,79,-6,13,36,292,14,6,77
14,I Fall Apart,Post Malone,dfw rap,2016,2017‑12‑05,144,54,56,-5,20,29,223,7,4,85
15,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,chicago rap,2016,2017‑12‑05,135,80,65,-5,12,79,305,16,17,75
16,One Dance,Drake,canadian hip hop,2016,2017‑12‑05,104,63,79,-6,33,37,174,1,5,83
17,Go Flex,Post Malone,dfw rap,2016,2017‑12‑05,82,50,67,-8,8,13,180,23,8,80
18,White Iverson,Post Malone,dfw rap,2016,2017‑12‑05,130,56,68,-8,8,31,257,23,4,80
19,24K Magic,Bruno Mars,pop,2016,2017‑12‑05,107,80,82,-4,15,63,226,3,8,78
20,No Heart,21 Savage,atl hip hop,2016,2017‑12‑05,140,44,91,-9,17,68,235,14,38,72
21,How Far I'll Go - Alessia Cara Version,Alessia Cara,canadian contemporary r&b,2016,2017‑12‑05,181,54,31,-10,7,15,176,16,35,70
22,pick up the phone,Young Thug,atl hip hop,2016,2017‑12‑05,137,74,71,-4,23,43,252,11,13,73
23,You Was Right,Lil Uzi Vert,melodic rap,2016,2017‑12‑05,82,36,84,-7,12,16,164,7,46,73
24,Call on Me - Ryan Riback Remix,Starley,aussietronica,2016,2017‑12‑05,105,84,67,-4,16,72,222,6,4,68
